"type","severity","norm_severity","smell","quality"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","104,472","1.7634517008919746","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","89,157","1.6508745441165327","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","89,157","1.6508745441165327","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","89,157","1.6508745441165327","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","88,869","1.6487560987403862","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","88,869","1.6487560987403862","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","88,869","1.6487560987403862","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","88,869","1.6487560987403862","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","88,869","1.6487560987403862","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","88,869","1.6487560987403862","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.PolicyV1Api","84,836","1.6191075959819465","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.PolicyV1Api","84,836","1.6191075959819465","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.PolicyV1Api","84,836","1.6191075959819465","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.ApiClient","78,009","1.5689288948895714","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.ApiClient","78,009","1.5689288948895714","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.ApiClient","78,009","1.5689288948895714","Hub-like Modularization","Maintainability, Coupling"
"io.kubernetes.client.openapi.ApiClient","78,009","1.5689288948895714","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","73,845","1.5383169506211656","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","73,845","1.5383169506211656","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","73,845","1.5383169506211656","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","73,845","1.5383169506211656","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","73,845","1.5383169506211656","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","73,845","1.5383169506211656","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","73,845","1.5383169506211656","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","73,845","1.5383169506211656","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","73,845","1.5383169506211656","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.EventsV1Api","72,048","1.5251057310470686","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.EventsV1Api","72,048","1.5251057310470686","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.EventsV1Api","72,048","1.5251057310470686","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","68,848","1.5015829519990502","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","68,848","1.5015829519990502","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","68,848","1.5015829519990502","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","68,848","1.5015829519990502","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","68,848","1.5015829519990502","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","68,848","1.5015829519990502","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","58,519","1.4256595101127545","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","58,519","1.4256595101127545","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","58,519","1.4256595101127545","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.NodeV1Api","58,519","1.4256595101127545","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.NodeV1Api","58,519","1.4256595101127545","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.NodeV1Api","58,519","1.4256595101127545","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","58,519","1.4256595101127545","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","58,519","1.4256595101127545","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","58,519","1.4256595101127545","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1JSONSchemaProps","55,374","1.402538457038182","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1JSONSchemaProps","55,374","1.402538457038182","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodSpec","54,458","1.3958082119078807","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodSpec","54,458","1.3958082119078807","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolumeSpec","47,059","1.341412835483403","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolumeSpec","47,059","1.341412835483403","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Volume","46,508","1.3373677575863954","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Volume","46,508","1.3373677575863954","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EphemeralContainer","45,842","1.3324720791970266","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1EphemeralContainer","45,842","1.3324720791970266","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Container","45,268","1.3282505804571592","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Container","45,268","1.3282505804571592","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ServiceSpec","41,597","1.3012634421198812","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ServiceSpec","41,597","1.3012634421198812","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PodStatus","40,893","1.2960926312255758","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodStatus","40,893","1.2960926312255758","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.JSON","36,260","1.2620352745117824","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.JSON","36,260","1.2620352745117824","Cyclically-dependent Modularization","Modularity"
"io.kubernetes.client.openapi.JSON","36,260","1.2620352745117824","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.JSON","36,260","1.2620352745117824","Deep Hierarchy","Inheritance"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","34,047","1.2457630666545234","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","34,047","1.2457630666545234","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","34,047","1.2457630666545234","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Status","18,940","1.1347169158395882","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Status","18,940","1.1347169158395882","Cyclically-dependent Modularization","Modularity"
"io.kubernetes.client.openapi.models.V1Endpoint","14,746","1.103886396891184","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Endpoint","14,746","1.103886396891184","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimStatus","14,003","1.0984283407253272","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimStatus","14,003","1.0984283407253272","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1NamedRuleWithOperations","13,987","1.0983101752497706","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1NamedRuleWithOperations","13,987","1.0983101752497706","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1NamedRuleWithOperations","13,987","1.0983101752497706","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1NamedRuleWithOperations","13,987","1.0983101752497706","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1LimitRangeItem","13,955","1.0980720410553135","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1LimitRangeItem","13,955","1.0980720410553135","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1SubjectAccessReviewSpec","13,564","1.0952007472870469","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1SubjectAccessReviewSpec","13,564","1.0952007472870469","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMap","13,540","1.0950193091847666","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMap","13,540","1.0950193091847666","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1PolicyRule","13,443","1.0943073639624221","Insufficient Modularization","Modularity, Maintainability"
