"type","dep","i-dep","fan-in","fan-out"
"io.kubernetes.client.openapi.models.V1SelfSubjectRulesReview",29,4,1,13
"io.kubernetes.client.openapi.models.V1SubjectAccessReview",29,4,1,13
"io.kubernetes.client.openapi.models.V1TokenReview",29,4,1,13
"io.kubernetes.client.openapi.models.V1VolumeAttachment",29,4,2,13
"io.kubernetes.client.openapi.models.V1ValidationRule",26,1,1,9
"io.kubernetes.client.openapi.models.V1APIServiceCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1DaemonSetCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1NamespaceCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1ReplicaSetCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1ReplicationControllerCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1StatefulSetCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscalerCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1alpha1StorageVersion",28,3,2,12
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicy",29,4,2,13
"io.kubernetes.client.openapi.models.V1APIService",29,4,2,13
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicy",29,4,2,13
"io.kubernetes.client.openapi.models.V1beta2FlowSchema",29,4,2,13
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfiguration",29,4,2,13
"io.kubernetes.client.openapi.models.V1beta3FlowSchema",29,4,2,13
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfiguration",29,4,2,13
"io.kubernetes.client.openapi.models.V1CronJob",29,4,2,13
"io.kubernetes.client.openapi.models.V1DaemonSet",29,4,2,13
"io.kubernetes.client.openapi.models.V1Deployment",29,4,2,13
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscaler",29,4,2,13
"io.kubernetes.client.openapi.models.V1Ingress",29,4,2,13
"io.kubernetes.client.openapi.models.V1Job",29,4,2,13
"io.kubernetes.client.openapi.models.V1Namespace",29,4,2,13
"io.kubernetes.client.openapi.models.V1Node",29,4,2,13
"io.kubernetes.client.openapi.models.V1PersistentVolume",29,4,2,13
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaim",29,4,3,13
"io.kubernetes.client.openapi.models.V1Pod",29,4,2,13
"io.kubernetes.client.openapi.models.V1PodDisruptionBudget",29,4,2,13
"io.kubernetes.client.openapi.models.V1ReplicaSet",29,4,2,13
"io.kubernetes.client.openapi.models.V1ReplicationController",29,4,2,13
"io.kubernetes.client.openapi.models.V1ResourceQuota",29,4,2,13
"io.kubernetes.client.openapi.models.V1Scale",29,4,2,13
"io.kubernetes.client.openapi.models.V1Service",29,4,2,13
"io.kubernetes.client.openapi.models.V1StatefulSet",29,4,2,13
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscaler",29,4,2,13
"io.kubernetes.client.openapi.models.V1ControllerRevision",27,2,2,11
"io.kubernetes.client.openapi.models.CoreV1EventList",29,3,1,12
"io.kubernetes.client.openapi.models.EventsV1EventList",29,3,1,12
"io.kubernetes.client.openapi.models.V1alpha1ClusterCIDRList",29,3,1,12
"io.kubernetes.client.openapi.models.V1alpha1ClusterTrustBundleList",29,3,1,12
"io.kubernetes.client.openapi.models.V1alpha1IPAddressList",29,3,1,12
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionList",29,3,1,12
"io.kubernetes.client.openapi.models.V1alpha2PodSchedulingContextList",29,3,1,12
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimList",29,3,1,12
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimTemplateList",29,3,1,12
"io.kubernetes.client.openapi.models.V1alpha2ResourceClassList",29,3,1,12
"io.kubernetes.client.openapi.models.V1APIResourceList",28,2,31,10
"io.kubernetes.client.openapi.models.V1APIServiceList",29,3,1,12
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaList",29,3,1,12
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaSpec",30,4,1,12
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationList",29,3,1,12
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaList",29,3,1,12
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaSpec",30,4,1,12
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationList",29,3,1,12
"io.kubernetes.client.openapi.models.V1CertificateSigningRequestList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ClusterRoleBindingList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ClusterRoleList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ComponentStatusList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ConfigMapList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ControllerRevisionList",29,3,1,12
"io.kubernetes.client.openapi.models.V1CronJobList",29,3,1,12
"io.kubernetes.client.openapi.models.V1CSIDriverList",29,3,1,12
"io.kubernetes.client.openapi.models.V1CSINodeList",29,3,1,12
"io.kubernetes.client.openapi.models.V1CSIStorageCapacityList",29,3,1,12
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionList",29,3,1,12
"io.kubernetes.client.openapi.models.V1DaemonSetList",29,3,1,12
"io.kubernetes.client.openapi.models.V1DeploymentList",29,3,1,12
"io.kubernetes.client.openapi.models.V1EndpointSliceList",29,3,1,12
"io.kubernetes.client.openapi.models.V1EndpointsList",29,3,1,12
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscalerList",29,3,1,12
"io.kubernetes.client.openapi.models.V1IngressClassList",29,3,1,12
"io.kubernetes.client.openapi.models.V1IngressList",29,3,1,12
"io.kubernetes.client.openapi.models.V1JobList",29,3,1,12
"io.kubernetes.client.openapi.models.V1LeaseList",29,3,1,12
"io.kubernetes.client.openapi.models.V1LimitRangeList",29,3,1,12
"io.kubernetes.client.openapi.models.V1MutatingWebhookConfigurationList",29,3,1,12
"io.kubernetes.client.openapi.models.V1NamespaceList",29,3,1,12
"io.kubernetes.client.openapi.models.V1NetworkPolicyList",29,3,1,12
"io.kubernetes.client.openapi.models.V1NodeList",29,3,1,12
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimList",29,3,1,12
"io.kubernetes.client.openapi.models.V1PersistentVolumeList",29,3,1,12
"io.kubernetes.client.openapi.models.V1PodDisruptionBudgetList",29,3,1,12
"io.kubernetes.client.openapi.models.V1PodList",29,3,1,12
"io.kubernetes.client.openapi.models.V1PodTemplateList",29,3,1,12
"io.kubernetes.client.openapi.models.V1PriorityClassList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ReplicaSetList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ReplicationControllerList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ResourceQuotaList",29,3,1,12
"io.kubernetes.client.openapi.models.V1RoleBindingList",29,3,1,12
"io.kubernetes.client.openapi.models.V1RoleList",29,3,1,12
"io.kubernetes.client.openapi.models.V1RuntimeClassList",29,3,1,12
"io.kubernetes.client.openapi.models.V1SecretList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ServiceAccountList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ServiceList",29,3,1,12
"io.kubernetes.client.openapi.models.V1StatefulSetList",29,3,1,12
"io.kubernetes.client.openapi.models.V1StorageClassList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ValidatingWebhookConfigurationList",29,3,1,12
"io.kubernetes.client.openapi.models.V1VolumeAttachmentList",29,3,1,12
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscalerList",29,3,1,12
"io.kubernetes.client.openapi.models.V1alpha1ParentReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1ContainerPort",26,1,2,9
"io.kubernetes.client.openapi.models.V1DaemonSetSpec",29,4,1,12
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingList",29,3,1,12
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyList",29,3,1,12
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingList",29,3,1,12
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyList",29,3,1,12
"io.kubernetes.client.openapi.models.V1ComponentStatus",29,3,2,12
"io.kubernetes.client.openapi.models.V1Endpoints",29,3,2,12
"io.kubernetes.client.openapi.models.V1MutatingWebhookConfiguration",29,3,2,12
"io.kubernetes.client.openapi.models.V1Role",29,3,2,12
"io.kubernetes.client.openapi.models.V1ValidatingWebhookConfiguration",29,3,2,12
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1StorageOSPersistentVolumeSource",27,2,1,10
"io.kubernetes.client.openapi.models.V1StorageOSVolumeSource",27,2,1,10
"io.kubernetes.client.openapi.models.V1Toleration",26,1,2,9
"io.kubernetes.client.openapi.models.V1CSINodeDriver",28,2,1,11
"io.kubernetes.client.openapi.models.V1alpha1ServerStorageVersion",27,1,1,10
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimStatus",29,3,1,11
"io.kubernetes.client.openapi.models.V1PodAffinityTerm",28,2,3,11
"io.kubernetes.client.openapi.models.V1UserInfo",27,1,4,11
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionStatus",29,3,1,11
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscalerStatus",27,1,1,9
"io.kubernetes.client.openapi.models.V1ConfigMapVolumeSource",28,2,1,10
"io.kubernetes.client.openapi.models.V1SecretVolumeSource",28,2,1,10
"io.kubernetes.client.openapi.models.V1PodDNSConfig",28,2,1,11
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingSpec",29,3,1,12
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingSpec",29,3,1,12
"io.kubernetes.client.openapi.models.V1VolumeAttachmentStatus",27,2,1,11
"io.kubernetes.client.openapi.models.V1LeaseSpec",27,1,1,9
"io.kubernetes.client.openapi.models.V1beta2Subject",29,4,1,12
"io.kubernetes.client.openapi.models.V1beta3Subject",29,4,1,12
"io.kubernetes.client.openapi.models.V1ResourceRequirements",29,3,4,11
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimConsumerReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1TokenReviewStatus",28,2,1,11
"io.kubernetes.client.openapi.models.V1alpha2ResourceClassParametersReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1ComponentCondition",26,1,1,9
"io.kubernetes.client.openapi.models.V1EndpointAddress",27,2,1,10
"io.kubernetes.client.openapi.models.V1Subject",26,1,2,9
"io.kubernetes.client.openapi.models.V1TypedObjectReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha1ClusterTrustBundle",28,3,2,12
"io.kubernetes.client.openapi.models.V1alpha1Validation",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimTemplate",28,3,2,12
"io.kubernetes.client.openapi.models.V1beta1Validation",26,1,1,9
"io.kubernetes.client.openapi.models.V1Binding",28,3,1,12
"io.kubernetes.client.openapi.models.V1CSIDriver",28,3,2,12
"io.kubernetes.client.openapi.models.V1CSINode",28,3,2,12
"io.kubernetes.client.openapi.models.V1VsphereVirtualDiskVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionStatus",29,3,1,12
"io.kubernetes.client.openapi.models.V1DownwardAPIVolumeFile",28,3,2,11
"io.kubernetes.client.openapi.models.V1Taint",27,1,1,9
"io.kubernetes.client.openapi.models.V1PodFailurePolicyRule",29,3,1,11
